G23,G16,G22,G29,G21,G28,G01,G27,G14,G12,G03,G11,G30,G18,G19,G17,G10,G13,G24,G20,G06,G09,G26,G32,G02,G31,G08,G05,G04,G25,G07,G15
31380.0,58080.0,,40500.0,67830.0,46260.0,70950.0,60330.0,21780,34860.0,9870.0,10590.0,13890.0,27060.0,9300.0,24930.0,36900.0,18900.0,29580.0,13500.0,9030.0,9030.0,52800.0,41640.0,20580.0,47610.0,65700.0,18000.0,9030.0,38640.0,9960.0,24120.0
31650.0,58350.0,,40770.0,67860.0,46530.0,70980.0,60600.0,21810,34890.0,69930.0,10620.0,14160.0,27090.0,9330.0,25200.0,36930.0,19170.0,29610.0,13770.0,9300.0,9300.0,52830.0,41910.0,20850.0,47880.0,65970.0,18270.0,9300.0,38910.0,9990.0,24150.0
31680.0,58380.0,,40800.0,68130.0,46560.0,78420.0,60630.0,22080,35160.0,70560.0,10890.0,14190.0,27360.0,9600.0,25230.0,37200.0,19200.0,29880.0,13800.0,9330.0,9330.0,53100.0,41940.0,20880.0,47910.0,66000.0,18300.0,9330.0,38940.0,10260.0,24420.0
31950.0,58650.0,,41070.0,68160.0,46830.0,79230.0,60900.0,22110,35190.0,70860.0,10920.0,14460.0,27390.0,9630.0,25500.0,37230.0,19470.0,29910.0,14070.0,9600.0,9600.0,53130.0,42210.0,21150.0,48180.0,66270.0,18570.0,9600.0,39210.0,10290.0,24450.0
31980.0,58680.0,,41100.0,68430.0,46860.0,79470.0,60930.0,22380,35460.0,71130.0,11190.0,14490.0,27660.0,9900.0,25530.0,37500.0,19500.0,30180.0,14100.0,9630.0,9630.0,53400.0,42240.0,21180.0,48210.0,66300.0,18600.0,9630.0,39240.0,10560.0,24720.0
32250.0,58950.0,,41370.0,68460.0,47130.0,79740.0,61200.0,22410,35490.0,71160.0,11220.0,14760.0,27690.0,9930.0,25800.0,37530.0,19770.0,30210.0,14370.0,9900.0,9900.0,53430.0,42510.0,21450.0,48480.0,66570.0,18870.0,9900.0,39510.0,10590.0,24750.0
32280.0,58980.0,,41400.0,68730.0,47160.0,79770.0,61230.0,22680,35760.0,71430.0,11490.0,14790.0,45150.0,10200.0,25830.0,37800.0,19800.0,30480.0,14400.0,9930.0,9930.0,53700.0,42540.0,21480.0,48510.0,66600.0,18900.0,9930.0,39540.0,10860.0,25020.0
32550.0,59250.0,,41670.0,68760.0,47430.0,80040.0,61500.0,22710,35790.0,71460.0,11520.0,15060.0,45420.0,10410.0,26100.0,37830.0,20070.0,30510.0,14670.0,10200.0,10200.0,53730.0,42810.0,21750.0,48780.0,66870.0,19170.0,10200.0,39810.0,10890.0,25050.0
32580.0,59280.0,,41700.0,69030.0,47460.0,80070.0,61530.0,22980,36060.0,71730.0,11790.0,15090.0,45450.0,25230.0,26130.0,38100.0,20100.0,30780.0,14700.0,10230.0,10230.0,54000.0,42840.0,21780.0,48810.0,66900.0,19200.0,10230.0,39840.0,11160.0,25320.0
32850.0,59550.0,,41970.0,69060.0,47730.0,80340.0,61800.0,23010,36090.0,71760.0,11820.0,15360.0,47430.0,25500.0,26400.0,38130.0,20370.0,30810.0,14970.0,10500.0,10500.0,54030.0,43110.0,22050.0,49080.0,67170.0,19470.0,10500.0,40110.0,11190.0,25350.0
32880.0,59580.0,,42000.0,69330.0,47760.0,80370.0,61830.0,23280,36360.0,72030.0,12090.0,15390.0,47760.0,25530.0,26430.0,38400.0,20400.0,31080.0,15000.0,10530.0,10530.0,54300.0,43140.0,22080.0,49110.0,67200.0,19500.0,10530.0,40140.0,11460.0,25620.0
33150.0,59850.0,,42270.0,69360.0,48030.0,80640.0,62100.0,23310,36390.0,72060.0,12120.0,15660.0,48030.0,25800.0,26700.0,38430.0,20670.0,31110.0,15270.0,10800.0,10800.0,54330.0,43410.0,22350.0,49380.0,67470.0,19770.0,10800.0,40410.0,11490.0,25650.0
33180.0,59880.0,,42300.0,69630.0,48060.0,80670.0,62130.0,23580,36660.0,72330.0,12390.0,15690.0,48060.0,25830.0,26730.0,38700.0,20700.0,31380.0,15300.0,10830.0,10830.0,54600.0,43440.0,22380.0,49410.0,67500.0,19800.0,10830.0,40440.0,11760.0,25920.0
33450.0,60150.0,,42570.0,69660.0,48330.0,80940.0,62400.0,23610,36690.0,72360.0,12420.0,15960.0,48330.0,26100.0,27000.0,38730.0,20970.0,31410.0,15570.0,11100.0,11100.0,54630.0,43710.0,22650.0,49680.0,67770.0,20070.0,11100.0,40710.0,11790.0,25950.0
33480.0,60180.0,,42600.0,69930.0,48360.0,80970.0,62430.0,23880,36960.0,72630.0,12690.0,15990.0,48360.0,26130.0,27030.0,39000.0,21000.0,31680.0,15600.0,11130.0,11130.0,54900.0,43740.0,22680.0,49710.0,67800.0,20100.0,11400.0,40740.0,12060.0,26220.0
33750.0,60450.0,,42870.0,69960.0,48630.0,81240.0,62700.0,23910,36990.0,72660.0,12720.0,16260.0,48630.0,26700.0,27300.0,39030.0,21270.0,31710.0,15870.0,11400.0,11400.0,54930.0,44010.0,22950.0,49980.0,68070.0,20370.0,11430.0,41010.0,12090.0,26250.0
33780.0,60480.0,,42900.0,70230.0,48660.0,81270.0,62730.0,24180,37260.0,72930.0,12990.0,16290.0,48660.0,26730.0,27330.0,39300.0,21300.0,31980.0,15900.0,11430.0,11430.0,55200.0,44040.0,22980.0,50010.0,68100.0,20400.0,11700.0,41040.0,12360.0,26520.0
34050.0,60750.0,,43170.0,70260.0,48930.0,81540.0,63000.0,24210,37290.0,72960.0,13020.0,16560.0,48930.0,27000.0,27600.0,39330.0,21570.0,32010.0,16170.0,11700.0,11700.0,55230.0,44310.0,23310.0,50280.0,68370.0,20670.0,11730.0,41310.0,12390.0,26550.0
34080.0,60780.0,,43200.0,70530.0,48960.0,81570.0,63030.0,24480,37560.0,73230.0,13290.0,16590.0,48960.0,27030.0,27630.0,39600.0,21600.0,32280.0,16200.0,11730.0,11730.0,55500.0,44340.0,23580.0,50310.0,68400.0,20700.0,12000.0,41340.0,12660.0,26820.0
34350.0,61050.0,,43470.0,70560.0,49230.0,81840.0,63300.0,24510,37590.0,73260.0,13320.0,16860.0,49230.0,27300.0,27900.0,39630.0,21870.0,32310.0,16470.0,12000.0,12000.0,55530.0,44610.0,23610.0,50580.0,68670.0,20970.0,12150.0,41610.0,12690.0,26850.0
34380.0,61080.0,,43500.0,70830.0,49260.0,81870.0,63330.0,24780,37860.0,73530.0,13590.0,16890.0,49260.0,27330.0,27930.0,39900.0,21900.0,32580.0,16500.0,12030.0,12030.0,55800.0,44640.0,23880.0,50610.0,68700.0,21000.0,12330.0,41640.0,12960.0,27120.0
34650.0,61350.0,,43770.0,70860.0,49530.0,82140.0,63600.0,24810,37890.0,73560.0,13620.0,17160.0,49530.0,27600.0,28200.0,39930.0,22170.0,32610.0,16770.0,12300.0,12300.0,55830.0,44910.0,23910.0,50880.0,68970.0,21270.0,12600.0,41910.0,12990.0,27150.0
34680.0,61380.0,,43800.0,71130.0,49560.0,82170.0,63630.0,25080,38160.0,73830.0,13890.0,17190.0,49560.0,27630.0,28230.0,40200.0,22200.0,32880.0,16800.0,12330.0,12330.0,56100.0,44940.0,24180.0,50910.0,69000.0,21300.0,12840.0,41940.0,13260.0,27420.0
34950.0,61650.0,,44070.0,71160.0,49830.0,82440.0,63900.0,25110,38190.0,73860.0,13920.0,17460.0,49830.0,27900.0,28500.0,40530.0,22470.0,32910.0,17070.0,12600.0,12600.0,56130.0,45210.0,24210.0,51180.0,69270.0,21570.0,12900.0,42210.0,13290.0,27450.0
