G23,G16,G26,G21,G31,G27,G08,G18,G10,G07
2300,2300,2320.0,2341.0,,2340.0,2321.0,2340.0,2320.0,
2301,2301,2321.0,2360.0,,2341.0,2340.0,2341.0,2321.0,
2320,2320,2340.0,2361.0,,2360.0,2341.0,2360.0,2340.0,
2321,2321,2341.0,2380.0,,2361.0,2360.0,2361.0,2341.0,
2340,2340,2360.0,2381.0,,2380.0,2361.0,2380.0,2360.0,
2341,2341,2361.0,2400.0,,2381.0,2380.0,2381.0,2361.0,
2360,2360,2380.0,2401.0,,2400.0,2381.0,2400.0,2380.0,
2361,2361,2381.0,2420.0,,2401.0,2400.0,2401.0,2381.0,
2380,2380,2400.0,2421.0,,2420.0,2401.0,2420.0,2400.0,
2381,2381,2401.0,2440.0,,2421.0,2420.0,2421.0,2401.0,
2400,2400,2420.0,2441.0,,2440.0,2421.0,2440.0,2420.0,
2401,2401,2421.0,2460.0,,2441.0,2440.0,2441.0,2421.0,
2420,2420,2440.0,2461.0,,2460.0,2441.0,2460.0,2440.0,
2421,2421,2441.0,2480.0,,2461.0,2460.0,2461.0,2441.0,
2440,2440,2460.0,2481.0,,2480.0,2461.0,2480.0,2460.0,
2441,2441,2461.0,2500.0,,2481.0,2480.0,2481.0,2461.0,
2460,2460,2480.0,2501.0,,2500.0,2481.0,2500.0,2480.0,
2461,2461,2481.0,2520.0,,2501.0,2500.0,2501.0,2481.0,
2480,2480,2500.0,2521.0,,2520.0,2501.0,2520.0,2500.0,
2481,2481,2501.0,2540.0,,2521.0,2520.0,2521.0,2501.0,
2500,2500,2520.0,2541.0,,2540.0,2521.0,2540.0,2520.0,
2501,2501,2521.0,2560.0,,2541.0,2540.0,2541.0,2521.0,
2520,2520,2540.0,2561.0,,2560.0,2541.0,2560.0,2540.0,
2521,2521,2541.0,2580.0,,2561.0,2560.0,2561.0,2541.0,
2540,2540,2560.0,2581.0,,2580.0,2561.0,2562.0,2560.0,
2541,2541,2561.0,2600.0,,2581.0,2580.0,2580.0,2561.0,
2560,2560,2580.0,2601.0,,2600.0,2581.0,2581.0,2580.0,
2561,2561,2581.0,2620.0,,2601.0,2600.0,2600.0,2581.0,
2580,2580,2600.0,2621.0,,2620.0,2601.0,2601.0,2600.0,
2581,2581,2601.0,2640.0,,2621.0,2620.0,2620.0,2601.0,
2600,2600,2620.0,2641.0,,2640.0,2621.0,2621.0,2620.0,
2601,2601,2621.0,2660.0,,2641.0,2640.0,2640.0,2621.0,
2620,2620,2640.0,2661.0,,2660.0,2641.0,2641.0,2640.0,
2621,2621,2641.0,2680.0,,2661.0,2660.0,2660.0,2641.0,
2640,2640,2660.0,2681.0,,2680.0,2661.0,2661.0,2660.0,
2641,2641,2661.0,2700.0,,2681.0,2680.0,2680.0,2661.0,
2660,2660,2680.0,2701.0,,2700.0,2681.0,2681.0,2680.0,
2661,2661,2681.0,2720.0,,2701.0,2700.0,2700.0,2681.0,
2680,2680,2700.0,2721.0,,2720.0,2701.0,2701.0,2700.0,
2681,2681,2701.0,2740.0,,2721.0,2720.0,2720.0,2701.0,
2700,2700,2720.0,2741.0,,2740.0,2721.0,2721.0,2720.0,
2701,2701,2721.0,2760.0,,2741.0,2740.0,2741.0,2721.0,
2720,2720,2740.0,2761.0,,2760.0,2741.0,2760.0,2740.0,
2721,2721,2741.0,2780.0,,2761.0,2760.0,2761.0,2741.0,
2740,2740,2760.0,2781.0,,2780.0,2761.0,2780.0,2760.0,
2741,2741,2761.0,2800.0,,2781.0,2780.0,2781.0,2761.0,
2760,2760,2780.0,2801.0,,2800.0,2781.0,2800.0,2780.0,
2761,2761,2781.0,2820.0,,2801.0,2800.0,2801.0,2781.0,
2780,2780,2800.0,2821.0,,2820.0,2801.0,2820.0,2800.0,
2781,2781,2801.0,2840.0,,2821.0,2820.0,2821.0,2801.0,
2800,2800,2820.0,2841.0,,2840.0,2821.0,2822.0,2820.0,
2801,2801,2821.0,2860.0,,2841.0,2840.0,2841.0,2821.0,
2820,2820,2840.0,2861.0,,2860.0,2841.0,2860.0,2840.0,
2821,2821,2841.0,2880.0,,2861.0,2860.0,2861.0,2841.0,
2840,2840,2860.0,2881.0,,2880.0,2861.0,2880.0,2860.0,
2841,2841,2861.0,2900.0,,2881.0,2880.0,2881.0,2861.0,
2860,2860,2880.0,2901.0,,2900.0,2881.0,2900.0,2880.0,
2861,2861,2881.0,2920.0,,2901.0,2900.0,2901.0,2881.0,
2880,2880,2900.0,2921.0,,2920.0,2901.0,2920.0,2900.0,
2881,2881,2901.0,2940.0,,2921.0,2920.0,2921.0,2901.0,
2900,2900,2920.0,2941.0,,2940.0,2921.0,2940.0,2920.0,
2901,2901,2921.0,2960.0,,2941.0,2940.0,2941.0,2921.0,
2920,2920,2940.0,2961.0,,2960.0,2941.0,2942.0,2940.0,
2921,2921,2941.0,2980.0,,2961.0,2960.0,2961.0,2941.0,
2940,2940,2960.0,2981.0,,2980.0,2961.0,2980.0,2960.0,
2941,2941,2961.0,3000.0,,2981.0,2980.0,2981.0,2961.0,
2960,2960,2980.0,3001.0,,3000.0,2981.0,3000.0,2980.0,
2961,2961,2981.0,3020.0,,3001.0,3000.0,3001.0,2981.0,
2980,2980,3000.0,3021.0,,3020.0,3001.0,3020.0,3000.0,
2981,2981,3001.0,3040.0,,3021.0,3020.0,3021.0,3001.0,
