G27,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G30,G18,G31,G04,G10,G23,G11
69810.0,48900.0,13500.0,44250.0,62280.0,,56550.0,66360.0,77040.0,31110.0,14850.0,30600.0,32910.0,74280.0,18900.0,29310,38790.0,28440.0,50970.0,54390.0,28200.0,22620.0,72390.0,23190.0,55740.0,53100.0,13350.0,65610.0,40890.0,19890.0
70080.0,49170.0,13530.0,44280.0,62310.0,,56940.0,66390.0,77070.0,31380.0,14880.0,30900.0,33180.0,74550.0,18930.0,29580,38820.0,28470.0,51240.0,54420.0,28230.0,22890.0,72420.0,23220.0,56010.0,53130.0,13590.0,65640.0,41160.0,20160.0
70110.0,49200.0,13800.0,44550.0,62580.0,,57330.0,66660.0,77340.0,31410.0,15150.0,31170.0,33210.0,74580.0,19200.0,29610,39090.0,28740.0,51270.0,54690.0,28500.0,22920.0,72690.0,23490.0,56040.0,53400.0,14940.0,65910.0,41190.0,20190.0
70380.0,49470.0,13830.0,44580.0,62610.0,,57750.0,66690.0,77370.0,31680.0,15180.0,31200.0,33480.0,74850.0,19230.0,29880,39120.0,28770.0,51540.0,54720.0,28530.0,23190.0,72720.0,23520.0,56310.0,53430.0,15210.0,65940.0,41460.0,20460.0
70410.0,49500.0,14100.0,44850.0,62880.0,,58350.0,66960.0,77640.0,31710.0,15450.0,31470.0,33510.0,74880.0,19500.0,29910,39390.0,29040.0,51570.0,54990.0,28800.0,23220.0,72990.0,23790.0,56340.0,53700.0,15240.0,66210.0,41490.0,20490.0
70680.0,49770.0,14130.0,44880.0,62910.0,,58620.0,66990.0,77670.0,31980.0,15480.0,31500.0,33780.0,75150.0,19530.0,30180,39420.0,29070.0,51840.0,55020.0,28830.0,23490.0,73020.0,23820.0,56610.0,53730.0,15510.0,66240.0,41820.0,20760.0
70710.0,49800.0,14400.0,45150.0,63180.0,,58650.0,67260.0,77940.0,32010.0,15750.0,31770.0,33810.0,75180.0,19800.0,30210,39690.0,29340.0,51870.0,55290.0,29100.0,23520.0,73290.0,24090.0,56640.0,54000.0,15540.0,66510.0,41850.0,20790.0
70980.0,50070.0,14430.0,45180.0,63210.0,,58920.0,67290.0,77970.0,32280.0,15780.0,31800.0,34080.0,75450.0,19830.0,30480,39720.0,29370.0,52140.0,55320.0,29130.0,23790.0,73320.0,24120.0,56910.0,54030.0,15810.0,66540.0,42150.0,21060.0
71010.0,50100.0,14700.0,45450.0,63480.0,,58950.0,67560.0,78240.0,32310.0,16050.0,32070.0,34110.0,75480.0,20100.0,30510,39990.0,29640.0,52170.0,55590.0,29400.0,23820.0,73590.0,24390.0,56940.0,54300.0,16110.0,66810.0,42420.0,21090.0
71280.0,50370.0,14730.0,45480.0,63510.0,,59220.0,67590.0,78270.0,32580.0,16080.0,32100.0,34380.0,75750.0,20130.0,30780,40020.0,29670.0,52440.0,55620.0,29430.0,24090.0,73620.0,24420.0,57210.0,54330.0,16350.0,66840.0,42450.0,21360.0
71310.0,50400.0,15000.0,45750.0,63780.0,,59250.0,67860.0,78540.0,32610.0,16350.0,32370.0,34410.0,75780.0,20400.0,30810,40290.0,29940.0,52470.0,55890.0,29700.0,24120.0,73890.0,24690.0,57240.0,54600.0,16410.0,67110.0,58650.0,21390.0
71580.0,50670.0,15030.0,45780.0,63810.0,,59520.0,67890.0,78570.0,32880.0,16380.0,32400.0,34680.0,76050.0,20430.0,31080,40320.0,29970.0,52740.0,55920.0,29730.0,24390.0,73920.0,24720.0,57510.0,54630.0,16590.0,67140.0,58800.0,21660.0
71610.0,50700.0,15300.0,46050.0,64080.0,,59550.0,68160.0,78840.0,32910.0,16650.0,32670.0,34710.0,76080.0,20700.0,31110,40590.0,30240.0,52770.0,56190.0,30000.0,24420.0,74190.0,24990.0,57540.0,54900.0,17100.0,67410.0,59070.0,21690.0
71880.0,50970.0,15330.0,46080.0,64110.0,,59820.0,68190.0,78870.0,33180.0,16680.0,32700.0,34980.0,76350.0,20730.0,31380,40620.0,30270.0,53040.0,56220.0,30030.0,24690.0,74220.0,25020.0,57810.0,54930.0,81540.0,67440.0,59100.0,21960.0
71910.0,51000.0,15600.0,46350.0,64380.0,,59850.0,68460.0,79140.0,33210.0,16950.0,32970.0,35010.0,76380.0,21000.0,31410,40890.0,30540.0,53070.0,56490.0,30300.0,24720.0,74490.0,25290.0,57840.0,55200.0,81810.0,67710.0,59370.0,21990.0
72180.0,51270.0,15630.0,46380.0,64410.0,,60120.0,68490.0,79170.0,33480.0,16980.0,33000.0,35280.0,76650.0,21030.0,31680,40920.0,30570.0,53340.0,56520.0,30330.0,24990.0,74520.0,25320.0,58110.0,55230.0,81840.0,67740.0,59670.0,22260.0
72210.0,51300.0,15900.0,46650.0,64680.0,,60150.0,68760.0,79440.0,33510.0,17250.0,33270.0,35310.0,76680.0,21300.0,31710,41190.0,30840.0,53370.0,56790.0,30600.0,25020.0,74790.0,25590.0,58140.0,55500.0,82110.0,68010.0,59700.0,22290.0
72480.0,51570.0,15930.0,46680.0,64710.0,,60420.0,68790.0,79470.0,33780.0,17280.0,33300.0,35580.0,76950.0,21330.0,31980,41220.0,30870.0,53640.0,56820.0,30630.0,25290.0,74820.0,25620.0,58410.0,55530.0,82140.0,68040.0,59970.0,22560.0
72510.0,51600.0,16200.0,46950.0,64980.0,,60660.0,69060.0,79740.0,33810.0,17550.0,33570.0,35610.0,76980.0,21600.0,32010,41490.0,31140.0,53670.0,57090.0,30900.0,25320.0,75090.0,25890.0,58440.0,55800.0,82710.0,68310.0,60000.0,22590.0
72780.0,51870.0,16230.0,46980.0,65010.0,,61350.0,69090.0,79770.0,34080.0,17580.0,33600.0,35880.0,77250.0,21630.0,32280,41520.0,31170.0,54240.0,57120.0,30930.0,25590.0,75120.0,25920.0,58710.0,55830.0,82740.0,68340.0,60270.0,22860.0
72810.0,51900.0,16500.0,47250.0,65280.0,,61410.0,69360.0,80040.0,34110.0,17850.0,33870.0,35910.0,77280.0,21900.0,32310,41790.0,31440.0,54270.0,57390.0,31200.0,25620.0,75390.0,26190.0,58740.0,56100.0,83010.0,68610.0,60300.0,22890.0
73080.0,52170.0,16530.0,47280.0,65310.0,,61680.0,69390.0,80070.0,34380.0,17880.0,33900.0,36180.0,77550.0,21930.0,32580,41820.0,31470.0,71340.0,57420.0,31230.0,25890.0,75420.0,26220.0,59010.0,56130.0,83040.0,68640.0,60570.0,23160.0
73110.0,52200.0,16800.0,47550.0,65580.0,,61710.0,69660.0,80340.0,34410.0,18150.0,34170.0,36210.0,77580.0,22200.0,32610,42090.0,31740.0,71610.0,57690.0,31500.0,25920.0,75690.0,26490.0,59040.0,56400.0,83310.0,68910.0,60600.0,23190.0
73380.0,52470.0,16830.0,47580.0,65610.0,,61980.0,69690.0,80370.0,34680.0,18180.0,34200.0,36480.0,77850.0,22230.0,32880,42120.0,31770.0,71640.0,57720.0,31530.0,26190.0,75720.0,26520.0,59310.0,56430.0,83340.0,68940.0,60870.0,23460.0
73410.0,52500.0,17100.0,47850.0,65880.0,,62010.0,69960.0,80640.0,34710.0,18450.0,34470.0,36510.0,77880.0,22500.0,32910,42390.0,32040.0,71910.0,57990.0,31800.0,26220.0,75990.0,26790.0,59340.0,56700.0,83610.0,69210.0,60900.0,23490.0
73680.0,52770.0,17130.0,47880.0,65910.0,,62280.0,69990.0,80670.0,34980.0,18480.0,34500.0,36780.0,78150.0,22530.0,33180,42420.0,32070.0,71940.0,58020.0,31830.0,26490.0,76020.0,26820.0,59610.0,56730.0,83640.0,69240.0,61170.0,23760.0
73710.0,52800.0,17400.0,48150.0,66180.0,,62310.0,70260.0,80940.0,35010.0,18750.0,34770.0,36810.0,78180.0,22800.0,33210,42690.0,32340.0,72210.0,58290.0,32100.0,26520.0,76290.0,27090.0,59640.0,57000.0,83910.0,69510.0,61200.0,24060.0
