G27,G08,G28,G07,G26,G02,G21,G10,G18,G31,G16,G23
3301,3320.0,,,3301,,,3301,3301,,3301,3301
3312,3331.0,,,3312,,,3312,3312,,3312,3312
3323,3342.0,,,3323,,,3323,3323,,3323,3323
3334,3353.0,,,3334,,,3334,3334,,3334,3334
3345,3364.0,,,3345,,,3345,3345,,3345,3345
3356,3375.0,,,3356,,,3356,3356,,3356,3356
3367,3386.0,,,3367,,,3367,3367,,3367,3367
3378,3397.0,,,3378,,,3378,3378,,3378,3378
3389,3408.0,,,3389,,,3389,3389,,3389,3389
3400,3419.0,,,3400,,,3400,3400,,3400,3400
3411,3430.0,,,3411,,,3411,3411,,3411,3411
3422,3441.0,,,3422,,,3422,3422,,3422,3422
3433,3452.0,,,3433,,,3433,3433,,3433,3433
3444,3463.0,,,3444,,,3444,3444,,3444,3444
3455,3474.0,,,3455,,,3455,3455,,3455,3455
3466,3485.0,,,3466,,,3466,3466,,3466,3466
3477,3496.0,,,3477,,,3477,3477,,3477,3477
3488,3507.0,,,3488,,,3488,3488,,3488,3488
3499,3518.0,,,3499,,,3499,3499,,3499,3499
3510,3529.0,,,3510,,,3510,3510,,3510,3510
3521,3540.0,,,3521,,,3521,3521,,3521,3521
3532,3551.0,,,3532,,,3532,3532,,3532,3532
3543,3562.0,,,3543,,,3543,3543,,3543,3543
3554,3573.0,,,3554,,,3554,3554,,3554,3554
3565,,,,3565,,,3565,3565,,3565,3565
3576,,,,3576,,,3576,3576,,3576,3576
